15,20,20,20,20,15,20,20,15,20,15,20,20,15,15,20,15,20,20,20,15,15,20,15,20,15,20,20,15,15,15,20,15,20,20,15,15,15,15,20,20,15,15,15,15,20,15,15,15,15,15,20,20,20,20,20,15,15,20,15,15,20,15,20,20,15,20,20,20,15,15,15,20,20,20
15,20,20,20,15,15,20,20,20,20,20,20,20,20,15,15,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,15,15,20,20,15,20,20,15,20,15,15,15,15,20,20,20,20,20,15,20,20,20,20,15,15,15,15,20,20,15,15,20,20,15,20,15,20,20,15,15,15,15,15
20,20,20,20,15,15,20,20,20,20,20,20,20,15,20,20,20,20,20,15,15,15,15,20,15,20,20,20,20,15,20,20,15,15,20,15,15,20,15,20,20,20,20,15,20,20,20,20,15,20,20,20,20,20,15,20,20,20,20,15,15,15,20,15,20,15,15,20,20,20,15,20,15,20,20
15,20,15,20,15,20,15,15,15,20,15,15,15,15,20,20,20,20,20,15,20,15,20,20,20,20,20,20,20,15,20,20,20,20,15,20,20,20,15,20,20,15,20,15,20,20,15,15,15,15,20,20,15,20,20,15,20,20,20,15,20,20,15,15,15,15,20,20,20,20,15,20,15,20,20
20,15,20,20,20,15,20,15,20,20,20,15,20,20,20,20,15,20,20,20,20,20,20,15,20,20,20,20,15,20,20,20,20,15,20,15,20,20,20,15,15,20,20,20,15,20,20,20,20,20,15,15,15,15,15,15,15,20,20,15,15,15,15,15,20,15,20,15,15,15,15,15,20,15,20
20,20,15,20,20,15,15,20,20,20,15,20,15,20,20,20,20,20,20,20,20,15,15,20,15,20,15,20,20,20,15,20,20,20,20,15,20,20,15,20,15,15,20,20,15,20,20,15,15,20,20,20,20,20,20,15,20,20,20,20,15,20,20,15,15,20,15,20,20,20,20,20,15,20,20
15,20,20,15,15,20,15,20,20,20,15,20,20,20,20,20,20,20,15,6,6,6,6,6,6,6,6,6,20,15,20,20,20,15,15,20,15,20,20,20,15,20,20,15,15,20,15,20,20,15,15,15,15,20,15,15,15,15,20,20,15,20,20,20,20,15,20,15,15,15,20,20,15,15,20
15,20,20,15,15,20,20,15,15,20,15,20,20,15,15,20,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20,15,20,20,15,15,15,15,15,15,20,20,15,15,20,20,20,15,15,15,15,20,15,15,20,20,15,20,20,15,20,20,20,20,20,15,20,20,15,20,15,15,20
15,20,15,20,20,15,20,20,20,20,20,20,15,15,15,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20,20,15,20,15,15,15,15,15,20,15,20,15,15,15,15,15,20,15,20,15,15,20,15,20,20,15,15,20,15,20,15,20,20,20,15,20,15,20,15,20
20,15,15,15,20,20,15,20,20,20,20,15,15,15,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,20,20,15,15,15,20,20,20,15,15,20,15,15,15,15,20,20,15,20,20,20,15,20,15,20,20,20,15,15,20,20,15,20,15,15,15,15,15
15,15,15,15,15,15,15,20,20,15,20,20,15,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,15,20,15,15,20,20,20,15,15,15,20,15,15,15,15,20,20,20,15,15,15,20,20,15,20,20,20,15,15,15,20,15,20
20,20,20,20,15,20,20,15,20,20,20,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,3,3,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,20,20,20,20,20,20,15,15,15,15,20,20,15,15,20,20,15,15,20,15,15,20,15,20,15,15,20,15,15
15,20,15,15,15,15,20,20,20,20,20,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,1,1,1,1,1,1,4,6,6,6,6,6,6,6,6,6,6,6,6,15,20,15,15,20,20,15,20,15,15,15,15,15,15,15,20,15,15,15,20,20,20,15,15,15,20,15,20,20,20
15,15,20,20,20,15,20,20,20,20,15,6,6,6,6,2,3,3,3,4,6,6,6,2,1,1,1,1,1,1,1,1,1,3,3,3,4,6,6,6,6,6,6,6,20,15,6,6,6,6,6,6,6,15,15,20,15,20,20,15,20,15,20,20,20,15,15,20,20,20,15,20,20,20,15
15,15,20,15,15,15,20,20,20,20,15,6,6,6,2,21,21,21,21,22,3,3,3,1,1,25,25,25,25,25,23,1,1,1,1,1,1,3,3,4,6,6,6,15,20,6,6,6,6,6,6,6,6,6,6,15,20,15,15,15,20,15,15,20,20,20,20,20,15,20,15,20,15,20,15
15,15,20,15,20,20,20,20,20,15,20,6,6,6,5,21,1,21,21,21,22,22,1,1,1,26,26,26,26,26,23,1,1,11,13,1,1,1,1,7,6,6,20,15,6,6,6,6,6,6,6,6,6,6,6,6,20,15,15,20,15,20,15,15,15,20,15,20,15,20,20,15,15,15,20
20,15,20,15,15,15,15,20,6,6,6,6,6,6,8,22,22,22,21,21,22,22,21,1,1,26,26,26,26,26,23,1,1,17,19,1,1,1,1,7,6,6,20,6,6,6,6,6,3,3,3,3,6,6,6,6,6,20,15,15,20,15,15,15,20,20,20,20,15,15,20,15,15,20,20
15,15,20,15,20,20,20,20,6,6,6,6,6,6,6,5,22,22,21,22,22,21,21,1,1,25,25,25,25,25,25,1,1,1,1,0,1,1,1,7,6,6,15,6,6,6,6,2,21,21,21,21,6,6,6,6,6,6,20,15,15,15,20,15,20,15,15,15,20,20,15,15,15,20,15
